Title,Framework,Hook Score,Why
"The 30-MIN METHOD to ditch 99% of the toys","The (Time Frame) METHOD to ditch 99% of the (Unwanted Entities)","+994","Desire – This creator’s audience would love for their kids to ditch the toys. Time Frame – “30-MIN” makes this method sound more tangible, achievable, and interesting. Curiosity – You know what this method does and how long it takes, but you don’t know anything about how to execute it, so you’ve gotta click and find out."
"The 7-Day Challenge That Changed My Life (You Can Do It Too!)","The 7-Day [Niche] Challenge That Changed My Life (You Can Do It Too!)","+1893","Time Frame – “7-Day” makes this challenge sound more tangible, achievable, and interesting. Desire – Most people would love to change their life. Curiosity – This title is vague, but interesting. The time frame and “change my life” both make this challenge sound interesting, but you have no other details besides those two, so you’ve gotta click to learn more."
"If You Know These 15 Words, Your English is EXCELLENT!","If You (Activity) These 15 (Entities), Your (Skill or Possession) is EXCELLENT!","+5363","Curiosity – This does a great job of opening a loop and making you wonder what these 15 words are. Desire – This creator’s audience would love to have excellent English."
"Tennis Has A Serious Pickleball Problem…","(Entity) Has A Serious (Similar Entity) Problem…","+679","Negativity – There’s drama and conflict in this title, which people love."
"15 Things To Do If You Get Rich All Of A Sudden","15 Things To Do If You (Suddenly Reach Your Biggest Goal)","+916","List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity. Desire – This creator’s audience would love to get rich all of a sudden. But instead of this being a realistic scenario for most people, it’s probably more of an entertaining potential dream scenario."
"*NEVER* do THIS when visiting Italy!","*NEVER* do THIS when (Activity)!","+1756","Negativity – This title is a simple warning that does a great job at grabbing the audience’s attention. Curiosity – This also opens a loop and makes you wonder what exactly it is that he’s doing wrong."
"Fix 90% of Your Body’s Problems in 30 Days","Fix 90% of Your (Entity’s) Problems in 30 Days","+3959","Desire – This creator’s audience would love to fix 90% of their body’s problems. Negativity – This is all about pain points and problems, which grabs the audience’s attention. Time Frame – The time frame of “30 Days” adds to the desire and makes this feel more tangible and enticing."
"The Smallest Full Frame Camera You’ve Ever Seen","The (Extreme, Counterintuitive Object) You’ve Ever Seen","+460","Curiosity – This builds curiosity two ways: There’s a bit of contrast between “smallest” and “full frame”.



It makes you want to know what camera this is. Extreme – “Smallest” and “You’ve Ever Seen” both make this title extreme and unique. Desire – This creator’s audience likes small full frame cameras."
"These Common Behaviors Are MAJOR TSA Red Flags","These Common (Actions or Entities) Are MAJOR (Entity) Red Flags","+511","Negativity – “Red Flags” does a great job at grabbing attention. Nobody wants to do these common behaviors and accidentally get in trouble. Curiosity – This builds curiosity two ways: It’s counterintuitive that “common behaviors” would be “major red flags”.



This does a good job of opening a loop and making you wonder what these common behaviors are."
"I Finally Got a Tesla Cybertruck and It Scares the Crap Out of Me","I Finally Got a (Trending Product) and It Scares the Crap Out of Me","+1073","Trending – Tesla Cybertrucks are still trending right now, which brings a lot of attention to this title. Negativity – “It Scares the Crap Out of Me” brings some fear here. Curiosity – “It Scares the Crap Out of Me” also builds curiosity because it’s so vague and makes you want to know why it scares him so much."
"Turn a Handkerchief Into a Spectacular Gift in 10 Minutes","Turn a (Mundane Object) Into a (Amazing, Different Object) in (Short Time Frame)","+3271","Desire – This creator’s audience loves to turn regular things in spectacular things. Time Frame – The short time frame of “in 10 minutes” adds to that desire because it makes it feel tangible and accomplishable. Curiosity – The contrast between “handkerchief” and “spectacular gift” builds curiosity and interest."
"These 2 Easy Upgrades Keep Garages Comfy Year Round","These 2 Easy Upgrades (Achieve Specific Goal)","+479","Desire – This creator’s audience would love to keep their garages comfy year-round. Plus, “easy” enhances the audience’s desire for these upgrades. Curiosity – This does a great job at opening a loop because it says there are two upgrades, but doesn’t specify what they are, so you’ve gotta click to find out. List – Lists make videos feel more tangible (you know exactly what the video will be about) and they add some curiosity."
